,Unnamed: 0,date,open,high,low,close,volume
1697,2178,2023-05-26 17:31:00+00:00,197,197.1,196.8,197.01,232902
1698,2179,2023-05-26 17:32:00+00:00,197.01,197.49,197,197.44,400496
1699,2180,2023-05-26 17:33:00+00:00,197.47,197.54,197.2,197.47,261928
1700,2181,2023-05-26 17:34:00+00:00,197.46,197.79,197.45,197.53,395397
1701,2182,2023-05-26 17:35:00+00:00,197.53,197.54,197.28,197.34,322123
1702,2183,2023-05-26 17:36:00+00:00,197.31,197.4,197.1,197.28,226544
1703,2184,2023-05-26 17:37:00+00:00,197.27,197.36,197.21,197.28,158919
1704,2185,2023-05-26 17:38:00+00:00,197.27,197.38,197.02,197.07,239165
1705,2186,2023-05-26 17:39:00+00:00,197.07,197.38,197.07,197.32,225018
1706,2187,2023-05-26 17:40:00+00:00,197.33,197.33,196.7,196.76,351785
1707,2188,2023-05-26 17:41:00+00:00,196.74,196.76,196.18,196.34,556869
1708,2189,2023-05-26 17:42:00+00:00,196.34,196.53,196.18,196.48,361558
1709,2190,2023-05-26 17:43:00+00:00,196.48,196.5,196.17,196.34,270436
1710,2191,2023-05-26 17:44:00+00:00,196.33,196.49,196.28,196.41,212597
1711,2192,2023-05-26 17:45:00+00:00,196.42,196.44,196.05,196.14,334743
1712,2193,2023-05-26 17:46:00+00:00,196.15,196.33,196.12,196.29,222430
1713,2194,2023-05-26 17:47:00+00:00,196.29,196.34,196.15,196.33,221297
1714,2195,2023-05-26 17:48:00+00:00,196.32,196.39,195.65,195.69,488674
1715,2196,2023-05-26 17:49:00+00:00,195.71,195.79,195.4,195.66,475761
1716,2197,2023-05-26 17:50:00+00:00,195.66,196.07,195.51,195.93,437411
1717,2198,2023-05-26 17:51:00+00:00,195.92,196.19,195.86,196.17,330034
1718,2199,2023-05-26 17:52:00+00:00,196.19,196.39,196.15,196.29,291372
1719,2200,2023-05-26 17:53:00+00:00,196.28,196.34,196.08,196.16,248929
1720,2201,2023-05-26 17:54:00+00:00,196.15,196.18,196.01,196.14,208979
1721,2202,2023-05-26 17:55:00+00:00,196.14,196.28,196.04,196.23,183054
1722,2203,2023-05-26 17:56:00+00:00,196.2,196.53,196.19,196.42,338030
1723,2204,2023-05-26 17:57:00+00:00,196.45,196.45,196.11,196.28,279753
1724,2205,2023-05-26 17:58:00+00:00,196.28,196.39,196.1,196.14,193971
1725,2206,2023-05-26 17:59:00+00:00,196.17,196.22,195.74,195.93,278196
1726,2207,2023-05-26 18:00:00+00:00,195.93,196.03,195.88,195.9,181731
1727,2208,2023-05-26 18:01:00+00:00,195.9,195.96,195.62,195.65,225413
1728,2209,2023-05-26 18:02:00+00:00,195.7,195.73,195.21,195.22,388645
1729,2210,2023-05-26 18:03:00+00:00,195.22,195.68,195.17,195.64,390051
1730,2211,2023-05-26 18:04:00+00:00,195.65,195.76,195.5,195.61,267451
1731,2212,2023-05-26 18:05:00+00:00,195.6,195.85,195.46,195.79,324339
1732,2213,2023-05-26 18:06:00+00:00,195.78,195.88,195.62,195.73,240400
1733,2214,2023-05-26 18:07:00+00:00,195.74,195.86,195.71,195.76,168485
1734,2215,2023-05-26 18:08:00+00:00,195.76,195.95,195.69,195.85,252902
1735,2216,2023-05-26 18:09:00+00:00,195.87,195.88,195.46,195.59,255699
1736,2217,2023-05-26 18:10:00+00:00,195.58,195.66,195.38,195.56,304042
1737,2218,2023-05-26 18:11:00+00:00,195.56,195.6,195.32,195.38,219736
1738,2219,2023-05-26 18:12:00+00:00,195.39,195.6,195.34,195.52,199132
1739,2220,2023-05-26 18:13:00+00:00,195.52,195.85,195.45,195.84,242277
1740,2221,2023-05-26 18:14:00+00:00,195.84,196.15,195.82,196.11,376833
1741,2222,2023-05-26 18:15:00+00:00,196.12,196.32,196.04,196.22,368338
1742,2223,2023-05-26 18:16:00+00:00,196.24,196.24,195.9,196,241937
1743,2224,2023-05-26 18:17:00+00:00,196,196.01,195.75,195.84,225619
1744,2225,2023-05-26 18:18:00+00:00,195.83,196.18,195.69,196.12,293773
1745,2226,2023-05-26 18:19:00+00:00,196.12,196.14,196.01,196.07,146647
1746,2227,2023-05-26 18:20:00+00:00,196.07,196.37,195.98,196.36,290697
1747,2228,2023-05-26 18:21:00+00:00,196.36,196.49,196.23,196.48,271991
1748,2229,2023-05-26 18:22:00+00:00,196.48,196.54,196.3,196.42,266563
1749,2230,2023-05-26 18:23:00+00:00,196.4,196.47,196.3,196.37,156403
1750,2231,2023-05-26 18:24:00+00:00,196.38,196.51,196.33,196.37,211349
1751,2232,2023-05-26 18:25:00+00:00,196.39,196.52,196.22,196.37,298774
1752,2233,2023-05-26 18:26:00+00:00,196.38,196.38,195.97,196.19,298797
1753,2234,2023-05-26 18:27:00+00:00,196.18,196.35,196.16,196.31,165859
1754,2235,2023-05-26 18:28:00+00:00,196.32,196.39,196.22,196.31,193379
1755,2236,2023-05-26 18:29:00+00:00,196.32,196.33,196,196.02,216489
1756,2237,2023-05-26 18:30:00+00:00,196.02,196.17,195.91,195.94,187963
1757,2238,2023-05-26 18:31:00+00:00,195.92,195.94,195.39,195.46,306476
1758,2239,2023-05-26 18:32:00+00:00,195.47,195.7,195.36,195.69,318581
1759,2240,2023-05-26 18:33:00+00:00,195.69,195.72,195.49,195.65,224828
1760,2241,2023-05-26 18:34:00+00:00,195.66,195.85,195.59,195.81,243816
1761,2242,2023-05-26 18:35:00+00:00,195.81,195.84,195.68,195.72,181422
1762,2243,2023-05-26 18:36:00+00:00,195.75,196.08,195.66,195.93,309999
1763,2244,2023-05-26 18:37:00+00:00,195.94,196.06,195.84,195.95,172545
1764,2245,2023-05-26 18:38:00+00:00,195.93,196.18,195.86,196.17,229007
1765,2246,2023-05-26 18:39:00+00:00,196.17,196.19,195.93,195.94,264236
1766,2247,2023-05-26 18:40:00+00:00,195.95,196.03,195.85,195.89,170766
1767,2248,2023-05-26 18:41:00+00:00,195.88,195.9,195.51,195.85,306945
1768,2249,2023-05-26 18:42:00+00:00,195.85,195.95,195.6,195.7,240586
1769,2250,2023-05-26 18:43:00+00:00,195.7,196.02,195.7,195.99,204883
1770,2251,2023-05-26 18:44:00+00:00,196,196.43,195.99,196.41,315548
1771,2252,2023-05-26 18:45:00+00:00,196.44,196.51,196.34,196.45,304937
1772,2253,2023-05-26 18:46:00+00:00,196.45,196.64,196.36,196.47,405300
1773,2254,2023-05-26 18:47:00+00:00,196.45,196.55,196.1,196.3,373148
1774,2255,2023-05-26 18:48:00+00:00,196.23,196.5,196.14,196.47,241831
1775,2256,2023-05-26 18:49:00+00:00,196.49,196.53,196.3,196.46,155829
1776,2257,2023-05-26 18:50:00+00:00,196.46,196.54,196.28,196.4,172641
1777,2258,2023-05-26 18:51:00+00:00,196.4,196.44,196.21,196.34,124940
1778,2259,2023-05-26 18:52:00+00:00,196.34,196.4,196.29,196.38,99459
1779,2260,2023-05-26 18:53:00+00:00,196.39,196.52,196.37,196.39,178391
1780,2261,2023-05-26 18:54:00+00:00,196.42,196.5,196.3,196.47,153245
1781,2262,2023-05-26 18:55:00+00:00,196.47,196.75,196.45,196.62,300912
1782,2263,2023-05-26 18:56:00+00:00,196.63,196.74,196.41,196.47,286460
1783,2264,2023-05-26 18:57:00+00:00,196.46,196.55,196.09,196.15,316912
1784,2265,2023-05-26 18:58:00+00:00,196.12,196.24,196,196.12,292270
1785,2266,2023-05-26 18:59:00+00:00,196.13,196.24,195.97,196.08,217091
1786,2267,2023-05-26 19:00:00+00:00,196.09,196.2,196,196.12,191961
1787,2268,2023-05-26 19:01:00+00:00,196.13,196.34,196.11,196.25,226551
1788,2269,2023-05-26 19:02:00+00:00,196.26,196.26,196.13,196.23,152829
1789,2270,2023-05-26 19:03:00+00:00,196.23,196.34,196.19,196.34,188679
1790,2271,2023-05-26 19:04:00+00:00,196.34,196.38,196.23,196.34,123895
1791,2272,2023-05-26 19:05:00+00:00,196.35,196.36,196.17,196.26,119332
1792,2273,2023-05-26 19:06:00+00:00,196.26,196.46,196.21,196.46,181018
1793,2274,2023-05-26 19:07:00+00:00,196.44,196.66,196.43,196.53,265916
1794,2275,2023-05-26 19:08:00+00:00,196.53,196.66,196.45,196.63,195032
1795,2276,2023-05-26 19:09:00+00:00,196.64,196.94,196.64,196.93,362167
1796,2277,2023-05-26 19:10:00+00:00,196.91,197.18,196.87,197.16,469148
1797,2278,2023-05-26 19:11:00+00:00,197.16,197.25,196.83,196.92,403970
1798,2279,2023-05-26 19:12:00+00:00,196.92,196.93,196.65,196.69,252946
1799,2280,2023-05-26 19:13:00+00:00,196.69,196.7,196.4,196.43,250772
1800,2281,2023-05-26 19:14:00+00:00,196.43,196.71,196.42,196.64,274776
1801,2282,2023-05-26 19:15:00+00:00,196.63,196.79,196.6,196.76,181739
1802,2283,2023-05-26 19:16:00+00:00,196.77,196.78,196.6,196.62,148844
1803,2284,2023-05-26 19:17:00+00:00,196.62,196.7,196.54,196.69,140909
1804,2285,2023-05-26 19:18:00+00:00,196.69,196.71,196.51,196.52,132954
1805,2286,2023-05-26 19:19:00+00:00,196.51,196.62,196.46,196.48,177469
1806,2287,2023-05-26 19:20:00+00:00,196.48,196.53,196.25,196.29,203608
1807,2288,2023-05-26 19:21:00+00:00,196.3,196.37,196.23,196.25,176865
1808,2289,2023-05-26 19:22:00+00:00,196.26,196.27,196.02,196.13,278369
1809,2290,2023-05-26 19:23:00+00:00,196.12,196.27,196.09,196.21,203585
1810,2291,2023-05-26 19:24:00+00:00,196.2,196.28,195.82,195.84,357999
1811,2292,2023-05-26 19:25:00+00:00,195.84,195.84,195.66,195.75,270076
1812,2293,2023-05-26 19:26:00+00:00,195.75,195.76,195.37,195.59,371880
1813,2294,2023-05-26 19:27:00+00:00,195.59,195.59,194.64,194.83,531019
1814,2295,2023-05-26 19:28:00+00:00,194.83,195.16,194.82,195.06,382711
1815,2296,2023-05-26 19:29:00+00:00,195.05,195.14,194.86,195.02,282827
1816,2297,2023-05-26 19:30:00+00:00,195.01,195.05,194.42,194.43,413561
1817,2298,2023-05-26 19:31:00+00:00,194.45,194.59,194.4,194.57,371929
1818,2299,2023-05-26 19:32:00+00:00,194.57,194.99,194.47,194.7,441498
1819,2300,2023-05-26 19:33:00+00:00,194.7,194.95,194.63,194.9,226905
1820,2301,2023-05-26 19:34:00+00:00,194.93,194.95,194.72,194.86,227320
1821,2302,2023-05-26 19:35:00+00:00,194.84,194.95,194.66,194.67,217568
1822,2303,2023-05-26 19:36:00+00:00,194.66,194.78,194.41,194.62,317752
1823,2304,2023-05-26 19:37:00+00:00,194.62,194.8,194.14,194.19,422976
1824,2305,2023-05-26 19:38:00+00:00,194.17,194.23,193.55,193.86,605256
1825,2306,2023-05-26 19:39:00+00:00,193.84,193.85,193.25,193.53,527674
1826,2307,2023-05-26 19:40:00+00:00,193.53,193.54,193.17,193.19,414162
1827,2308,2023-05-26 19:41:00+00:00,193.17,193.65,193.17,193.64,443464
1828,2309,2023-05-26 19:42:00+00:00,193.63,193.66,193.45,193.58,243493
1829,2310,2023-05-26 19:43:00+00:00,193.58,193.85,193.52,193.56,312238
1830,2311,2023-05-26 19:44:00+00:00,193.55,193.66,193.41,193.59,221731
1831,2312,2023-05-26 19:45:00+00:00,193.57,193.58,193.06,193.24,385988
1832,2313,2023-05-26 19:46:00+00:00,193.22,193.26,192.81,192.83,496325
1833,2314,2023-05-26 19:47:00+00:00,192.84,192.97,192.52,192.52,452732
1834,2315,2023-05-26 19:48:00+00:00,192.53,192.58,192.25,192.57,518230
1835,2316,2023-05-26 19:49:00+00:00,192.55,192.84,192.43,192.61,448529
1836,2317,2023-05-26 19:50:00+00:00,192.58,192.65,192.23,192.25,405604
1837,2318,2023-05-26 19:51:00+00:00,192.23,192.4,191.89,191.97,588806
1838,2319,2023-05-26 19:52:00+00:00,191.98,192.63,191.93,192.61,551067
1839,2320,2023-05-26 19:53:00+00:00,192.59,192.63,192.38,192.54,295632
1840,2321,2023-05-26 19:54:00+00:00,192.56,193.11,192.46,193.1,513885
1841,2322,2023-05-26 19:55:00+00:00,193.09,193.46,193.07,193.43,470796
1842,2323,2023-05-26 19:56:00+00:00,193.43,193.44,193.21,193.37,458955
1843,2324,2023-05-26 19:57:00+00:00,193.38,193.48,193.36,193.48,396155
1844,2325,2023-05-26 19:58:00+00:00,193.47,193.48,193.22,193.25,318998
1845,2326,2023-05-26 19:59:00+00:00,193.25,193.32,193.11,193.16,617006
1846,2327,2023-05-26 20:00:00+00:00,193.15,193.29,193.13,193.29,2528074
1847,2328,2023-05-26 20:01:00+00:00,193.28,193.28,193.11,193.14,9093
1848,2329,2023-05-26 20:02:00+00:00,193.13,193.2,193.1,193.1,15182
1849,2330,2023-05-26 20:03:00+00:00,193.1,193.1,193,193,10603
1850,2331,2023-05-26 20:04:00+00:00,193.08,193.08,192.82,192.92,17919
1851,2332,2023-05-26 20:05:00+00:00,193,193.08,192.95,193.04,19306
1852,2333,2023-05-26 20:06:00+00:00,193.05,193.15,193.04,193.07,16124
1853,2334,2023-05-26 20:07:00+00:00,193.06,193.17,193.05,193.11,48512
1854,2335,2023-05-26 20:08:00+00:00,193.1,193.13,193.06,193.06,16459
1855,2336,2023-05-26 20:09:00+00:00,193.1,193.12,193.05,193.06,3962
1856,2337,2023-05-26 20:10:00+00:00,193.06,193.17,193.06,193.09,17428
1857,2338,2023-05-26 20:11:00+00:00,193.11,193.13,193.07,193.13,5769
1858,2339,2023-05-26 20:12:00+00:00,193.13,193.17,193.11,193.15,8814
1859,2340,2023-05-26 20:13:00+00:00,193.15,193.17,193.11,193.12,5184
1860,2341,2023-05-26 20:14:00+00:00,193.19,193.3,193.16,193.24,6850
